## This is from the official XRT page
## GRB | RA | Dec | Err90 | #breaks | lc type | NH_gal | Redshift 
GRB 200205B | 107.78757 | -56.48744 | 1.6 | 2 | TBD | 0.10 | 1.465 
GRB 200205A | 130.17021 | -35.27353 | 1.9 | 1 | TBD | 0.43 | N/A 
GRB 200131A | 3.09441 | 51.11673 | 1.4 | 5 | TBD | 0.18 | N/A 
GRB 200127A | 295.19298 | 44.9006 | 1.5 | 1 | TBD | 0.22 | N/A 
GRB 200125A | 228.0471 | -8.14416 | 1.6 | 3 | TBD | 7.72&times;10<sup>-2</sup> | N/A 
GRB 200122A | 210.01797 | 27.54878 | 1.4 | 2 | TBD | 1.54&times;10<sup>-2</sup> | N/A 
GRB 200109A | 307.12462 | 52.99354 | 1.4 | 2 | TBD | 0.40 | N/A 
GRB 200107B | 106.9057645721 | -83.7169260699 | 5.4 | 0 | TBD | 0.15 | N/A 
GRB 191228A | 5.34683 | -8.68284 | 1.4 | 3 | TBD | 3.80&times;10<sup>-2</sup> | N/A 
GRB 191221B | 154.83001 | -38.15757 | 1.4 | 5 | TBD | 8.63&times;10<sup>-2</sup> | 1.148 
GRB 191220A | 281.37979 | 26.65595 | 2.1 | 1 | TBD | 0.15 | N/A 
GRB 191123A | 215.26182 | 22.86001 | 1.4 | 2 | TBD | 3.01&times;10<sup>-2</sup> | N/A 
GRB 191122A | 54.26984 | -32.18675 | 1.4 | 5 | TBD | 9.95&times;10<sup>-3</sup> | N/A 
GRB 191106A | 269.3356460749 | 46.0347051731 | 3.8 | 0 | TBD | 4.38&times;10<sup>-2</sup> | N/A 
GRB 191101A | 251.83722 | 43.74069 | 1.4 | 3 | TBD | 1.35&times;10<sup>-2</sup> | N/A 
GRB 191031D | 283.28963 | 47.64405 | 2.0 | 0 | TBD | 6.57&times;10<sup>-2</sup> | N/A 
GRB 191031C | 115.87014 | -62.32521 | 1.6 | 2 | TBD | 0.18 | N/A 
GRB 191029A | 352.16163 | -40.50119 | 1.6 | 0 | TBD | 1.78&times;10<sup>-2</sup> | N/A 
GRB 191024A | 10.11461 | -67.14509 | 3.1 | 0 | TBD | 2.73&times;10<sup>-2</sup> | N/A 
GRB 191019A | 340.02442 | -17.3281 | 2.1 | 0 | TBD | 3.28&times;10<sup>-2</sup> | 0.248 
GRB 191017B | 245.12479 | -73.54072 | 1.7 | 0 | TBD | 9.83&times;10<sup>-2</sup> | N/A 
GRB 191016A | 30.26938 | 24.50992 | 2.3 | 0 | TBD | 0.10 | N/A 
GRB 191011A | 44.72792 | -27.84541 | 1.5 | 1 | TBD | 1.54&times;10<sup>-2</sup> | 1.722 
GRB 191004B | 49.20419 | -39.63526 | 1.5 | 2 | TBD | 1.93&times;10<sup>-2</sup> | 3.503 
GRB 191004A | 31.66843 | -36.93352 | 1.8 | 3 | TBD | 1.52&times;10<sup>-2</sup> | N/A 
GRB 190926A | 100.57034 | 59.52924 | 2.6 | 2 | TBD | 7.49&times;10<sup>-2</sup> | N/A 
GRB 190919B | 311.87762 | -44.69532 | 2.6 | 0 | TBD | 2.75&times;10<sup>-2</sup> | 3.225 
GRB 190829A | 44.54373 | -8.95829 | 1.4 | 5 | TBD | 5.60&times;10<sup>-2</sup> | 0.0785 
GRB 190828B | 251.83121 | 27.28089 | 1.4 | 3 | TBD | 6.84&times;10<sup>-2</sup> | N/A 
GRB 190824A | 215.30501 | -41.89379 | 1.5 | 1 | TBD | 0.10 | N/A 
GRB 190823A | 279.68774 | -43.5277 | 8.5 | 0 | TBD | N/A | N/A 
GRB 190821A | 250.05499 | -34.00715 | 1.5 | 2 | TBD | 0.33 | N/A 
GRB 190816A | 341.18962 | -29.75757 | 7.0 | 0 | TBD | 1.28&times;10<sup>-2</sup> | N/A 
GRB 190804B | 240.02547 | -44.78139 | 4.5 | 0 | TBD | 0.43 | N/A 
GRB 190731A | 339.71991 | -76.57725 | 2.9 | 0 | TBD | 9.79&times;10<sup>-2</sup> | N/A 
GRB 190719C | 240.2061315553 | 13.0004390364 | 3.6 | 5 | TBD | 4.69&times;10<sup>-2</sup> | N/A 
GRB 190718A | 336.57616 | -41.20446 | 1.4 | 1 | TBD | 1.24&times;10<sup>-2</sup> | N/A 
GRB 190708B | 326.4879548732 | 7.8827921748 | 7.7 | 0 | TBD | 6.15&times;10<sup>-2</sup> | N/A 
GRB 190706B | 107.46202 | -29.55286 | 1.6 | 1 | TBD | 0.24 | N/A 
GRB 190701A | 28.08132 | 58.9093 | 1.6 | 2 | TBD | 0.64 | N/A 
GRB 190630C | 293.88028 | -32.74398 | 1.7 | 1 | TBD | 0.11 | N/A 
GRB 190630B | 223.70063 | 41.52611 | 5.2 | 0 | TBD | 1.42&times;10<sup>-2</sup> | N/A 
GRB 190627A | 244.82802 | -5.289 | 1.5 | 1 | TBD | 0.18 | 1.942 
GRB 190613B | 305.43195 | -4.64738 | 1.4 | 2 | TBD | 6.04&times;10<sup>-2</sup> | N/A 
