Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level,Cluster,Color
GRB090426,GRB090426_350479.png,25637,95373340,11,0,1,1,Simple,7,3,1,0,2.987590432845045,0.0582425864755564,0.9417574135244436,-0.8673649643743679,0.2990217558575261,0.7009782441424739,1,blue
GRB090429A,GRB090429A_350853.png,25637,95373341,10,16,4,3,Extended,10,10,10,0,2.574409875465939,0.0821776244400662,0.9178223755599336,0.5813183589761798,0.1795173586112832,0.8204826413887167,4,gray
GRB090429B,GRB090429B_350854.png,25637,95373342,11,1,0,0,Simple,10,1,1,0,2.9883494705505136,0.0582072907029989,0.9417927092970012,-0.7470873676376284,0.3440648051305601,0.6559351948694399,1,blue
GRB090509,GRB090509_351525.png,25637,95373344,2,6,14,9,Other,9,7,10,0,2.471334023696013,0.0899579356198803,0.9100420643801196,0.4942668047392025,0.1075647714575485,0.8924352285424515,9,yellow
GRB090510,GRB090510_351588.png,25637,95373345,15,7,2,4,Simple,14,8,3,0,2.799416848895061,0.0678857436780817,0.9321142563219182,0.0,0.1784910468200791,0.8215089531799209,4,gray
GRB090515,GRB090515_352108.png,25637,95373346,14,1,3,2,Simple,9,3,0,0,2.972602165841173,0.058945082876942,0.941054917123058,-0.6605782590758164,0.2781782527672631,0.7218217472327368,7,pink
GRB090516A,GRB090516A_352190.png,25637,95373347,7,12,5,3,Extended,7,7,11,0,2.7186506676132494,0.072632010853388,0.927367989146612,0.1294595556006309,0.1474382185429146,0.8525617814570854,8,cyan
GRB090518,GRB090518_352420.png,25637,95373350,27,15,2,0,Simple,28,9,5,0,2.545783309362336,0.084252545269956,0.915747454730044,0.636445827340584,0.1783847453750999,0.8216152546249,4,gray
GRB090519,GRB090519_352648.png,25637,95373351,4,15,10,6,Extended,3,13,16,0,2.573993336454676,0.082207362292453,0.9177926377075468,0.5147986672909352,0.145385526675764,0.854614473324236,8,cyan
GRB090529A,GRB090529A_353540.png,25637,95373352,3,15,7,11,Extended,1,16,6,0,2.32379000772445,0.102728078858399,0.8972719211416009,0.7745966692414834,0.102728078858399,0.8972719211416009,8,cyan
GRB090530,GRB090530_353567.png,25637,95373354,5,15,3,0,Extended,6,15,8,0,2.8461538461538463,0.0653151284999999,0.9346848715,-0.2307692307692307,0.1750019079323164,0.8249980920676836,2,green
GRB090531A,GRB090531A_353627.png,25637,95373355,20,4,7,1,Simple,25,3,5,0,2.8685486624025445,0.0641264199902811,0.9358735800097188,-0.2390457218668787,0.1928577943495011,0.8071422056504989,7,pink
GRB090531B,GRB090531B_353728.png,25637,95373357,4,10,10,2,Extended/Other,13,7,11,0,1.697749375254331,0.1170390355395114,0.8829609644604886,1.697749375254331,0.1881204043741871,0.8118795956258129,8,cyan
GRB090607,GRB090607_354299.png,25637,95373358,10,9,16,1,Other,23,2,9,0,2.271099895830676,0.0806861305981607,0.9193138694018392,0.3244428422615251,0.1078156709986783,0.8921843290013216,6,brown
GRB090618,GRB090618_355083.png,25637,95373359,0,7,21,1,Other,7,12,20,0,2.842715769728334,0.0655000474019167,0.9344999525980832,-0.0516857412677878,0.230851314401228,0.7691486855987719,3,orange
GRB090621A,GRB090621A_355303.png,25637,95373361,12,1,17,4,Other,13,3,2,0,2.3205803514857792,0.1030295623392472,0.8969704376607528,0.9555330859059092,0.1330742589143507,0.8669257410856492,6,brown
GRB090621B,GRB090621B_355359.png,25637,95373365,21,0,5,2,Simple,17,1,2,0,2.9298364469436544,0.0610087313932479,0.938991268606752,-0.4185480638490935,0.2391755830270716,0.7608244169729284,7,pink
GRB090628,GRB090628_355942.png,25637,95373366,4,5,9,2,Other,6,4,11,0,2.7174648819470297,0.0727047131093296,0.9272952868906704,0.0,0.1342921938370425,0.8657078061629575,5,purple
GRB090708,GRB090708_356776.png,25637,95373368,18,3,15,1,Simple,22,6,11,0,2.0588235294117645,0.1316443706574628,0.8683556293425372,1.3529411764705883,0.1475417107945345,0.8524582892054655,6,brown
GRB090709A,GRB090709A_356890.png,25637,95373369,20,8,7,5,Simple,23,5,15,0,2.9488391230979425,0.0600807688311031,0.9399192311688968,-0.5897678246195885,0.2368146067154755,0.7631853932845245,4,gray
GRB090709B,GRB090709B_356912.png,25637,95373370,7,9,10,0,Other,7,9,9,0,1.552364669004603,0.063375585363042,0.936624414636958,1.1088319064318592,0.2183838200330881,0.7816161799669119,8,cyan
GRB090712,GRB090712_357072.png,25637,95373372,11,7,6,3,Simple,16,2,8,0,2.5726096887571237,0.082306239828839,0.917693760171161,0.1513299816915954,0.1079300842106913,0.8920699157893086,4,gray
GRB090715A,GRB090715A_357498.png,25637,95373373,12,14,2,0,Simple/Extended,13,11,7,0,1.993231791080248,0.1402433515503418,0.8597566484496582,1.4237369936287485,0.1402433515503418,0.8597566484496582,4,gray
GRB090715B,GRB090715B_357512.png,25637,95373374,5,12,17,4,Other,26,3,15,0,2.4440645096710583,0.0921655489302912,0.9078344510697088,0.8146881698903526,0.1709916816375829,0.8290083183624171,5,purple
GRB090720A,,25637,95373376,20,1,1,1,Simple,17,3,0,0,3.0,0.0576688856224374,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295,1,blue
GRB090726,GRB090726_358422.png,25637,95373379,5,5,13,8,Other,10,3,9,0,2.781517949836592,0.0689035089119571,0.9310964910880428,0.1324532357065043,0.2411664143526706,0.7588335856473294,9,yellow
GRB090727,GRB090727_358520.png,25637,95373380,4,13,6,8,Extended,8,11,9,0,2.7186506676132494,0.072632010853388,0.927367989146612,0.1294595556006309,0.1474382185429146,0.8525617814570854,8,cyan
GRB090728,GRB090728_358574.png,25637,95373382,13,14,6,3,Simple/Extended,4,17,10,0,1.867718419094071,0.1108317720637848,0.8891682279362152,1.4941747352752568,0.1586115809348316,0.8413884190651684,4,gray
GRB090807A,GRB090807A_359378.png,25637,95373384,1,3,13,16,Too Noisy,4,1,14,0,2.104417123236605,0.1260343078543222,0.8739656921456778,1.2898040432740483,0.143635864666161,0.8563641353338389,9,yellow
GRB090809A,GRB090809A_359530.png,25637,95373385,15,3,3,0,Simple,19,0,2,0,2.9314195092110324,0.0609307430705798,0.93906925692942,-0.676481425202546,0.2125729631523196,0.7874270368476803,7,pink
GRB090812,GRB090812_359711.png,25637,95373386,3,9,14,5,Other,9,3,17,0,2.573993336454676,0.082207362292453,0.9177926377075468,0.5147986672909352,0.145385526675764,0.854614473324236,5,purple
GRB090813,GRB090813_359884.png,25637,95373387,3,8,19,3,Other,15,11,9,0,2.849828537648725,0.0651182026725325,0.9348817973274676,-0.0662750822709005,0.2582290527774085,0.7417709472225915,5,purple
GRB090814A,GRB090814A_359951.png,25637,95373389,1,3,13,16,Too Noisy,2,6,6,0,2.104417123236605,0.1260343078543222,0.8739656921456778,1.2898040432740483,0.143635864666161,0.8563641353338389,9,yellow
GRB090827,,25637,95373391,16,0,2,0,Simple,13,2,0,0,2.9775697788145115,0.0587110804971109,0.9412889195028892,-0.6472977780031546,0.328185090741081,0.671814909258919,1,blue
GRB090831C,GRB090831C_361489.png,25637,95373393,10,11,4,6,Extended,9,9,4,0,1.9672897619907408,0.1079300842106913,0.8920699157893086,1.3619698352243594,0.143826137173864,0.856173862826136,4,gray
GRB090904A,GRB090904A_361830.png,25637,95373394,8,8,8,3,,3,16,12,0,1.0,0.0576688856224374,0.9423311143775626,1.0,0.3910022189557705,0.6089977810442295,8,cyan
GRB090904B,GRB090904B_361831.png,25637,95373396,0,6,19,2,Other,7,1,15,0,2.8691462144686875,0.0640950736995777,0.9359049263004222,-0.1756620131307359,0.2120249700970475,0.7879750299029524,3,orange
GRB090912,GRB090912_362633.png,25637,95373398,4,11,17,0,Other,11,20,19,0,2.3911601909582574,0.0966403130039417,0.9033596869960584,0.7970533969860858,0.1235394667358906,0.8764605332641093,5,purple
