Burst_Name,Burst_Image,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB060507,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060507_208870.png,95372957,2,15,5,0,,"[6, 18, 9, 0, 1, 1]"
GRB060510A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060510A_209351.png,95372958,20,6,13,3,,"[17, 16, 23, 0, 0, 3]"
GRB060510B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060510B_209352.png,95372959,3,9,23,11,,"[12, 4, 27, 0, 1, 13]"
GRB060512,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060512_209755.png,95372962,17,1,5,1,,"[18, 1, 7, 0, 1, 2]"
GRB060515,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060515_210084.png,95372963,7,16,5,12,,"[3, 13, 11, 0, 1, 13]"
GRB060516,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060516_210254.png,95372964,1,3,3,16,,"[5, 1, 3, 0, 1, 18]"
GRB060522,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060522_211117.png,95372965,3,4,12,27,,"[5, 0, 11, 0, 1, 30]"
GRB060526,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060526_211957.png,95372967,2,13,25,8,,"[29, 8, 12, 0, 3, 11]"
GRB060602A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060602A_213180.png,95372969,8,11,7,17,,"[2, 15, 12, 0, 3, 22]"
GRB060604,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060604_213486.png,95372970,0,3,13,33,,"[7, 2, 9, 0, 1, 35]"
GRB060605,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060605_213630.png,95372971,2,2,14,3,,"[7, 7, 6, 0, 2, 5]"
GRB060607A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060607A_213823.png,95372972,11,19,12,3,,"[10, 34, 17, 0, 0, 3]"
GRB060607B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060607B_213934.png,95372974,5,10,19,4,,"[6, 22, 18, 0, 2, 6]"
GRB060614,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060614_214805.png,95372976,3,26,17,3,,"[12, 25, 29, 0, 2, 5]"
GRB060707,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060707_217704.png,95372977,3,5,15,3,,"[7, 11, 14, 0, 0, 3]"
GRB060708,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060708_217805.png,95372978,13,5,1,0,,"[2, 17, 0, 0, 0, 0]"
GRB060712,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060712_218582.png,95372980,4,4,19,14,,"[11, 3, 17, 0, 1, 16]"
GRB060714,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060714_219101.png,95372981,3,15,34,5,,"[15, 27, 33, 0, 2, 8]"
GRB060717,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060717_219646.png,95372983,12,0,1,0,Simple,"[12, 1, 0, 0, 0, 0]"
GRB060719,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060719_220020.png,95372984,1,4,16,1,,"[10, 9, 4, 0, 1, 2]"
GRB060729,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060729_221755.png,95372985,2,7,23,2,,"[19, 11, 19, 0, 1, 4]"
GRB060801,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060801_222154.png,95372987,15,1,0,1,Simple,"[10, 6, 0, 0, 1, 2]"
GRB060804,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060804_222546.png,95372989,4,4,19,0,,"[11, 3, 15, 0, 4, 4]"
GRB060805A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060805A_222683.png,95372990,13,1,2,2,,"[13, 1, 2, 0, 2, 4]"
GRB060807,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060807_223217.png,95372991,18,9,13,10,,"[16, 9, 16, 0, 4, 16]"
GRB060813,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060813_224364.png,95372993,26,19,2,2,,"[22, 19, 8, 0, 2, 4]"
GRB060814,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060814_224552.png,95372994,1,19,17,2,,"[24, 7, 20, 0, 0, 2]"
GRB060825,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060825_226382.png,95372996,12,1,2,0,Simple,"[11, 2, 3, 0, 0, 1]"
GRB060904A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060904A_227996.png,95372997,19,4,24,3,,"[31, 5, 23, 0, 2, 5]"
GRB060904B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060904B_228006.png,95372998,15,26,10,1,,"[21, 24, 14, 0, 1, 5]"
GRB060906,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060906_228316.png,95373000,1,3,11,3,,"[5, 4, 13, 0, 0, 3]"
GRB060908,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060908_228581.png,95373002,1,3,16,2,,"[12, 2, 12, 0, 1, 3]"
GRB060912A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060912A_229185.png,95373003,18,4,0,1,,"[4, 15, 2, 0, 2, 3]"
GRB060919,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060919_230115.png,95373004,17,14,10,3,,"[7, 29, 7, 0, 0, 3]"
GRB060923A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060923A_230662.png,95373006,2,3,12,0,,"[10, 4, 7, 0, 2, 2]"
GRB060923B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060923B_230702.png,95373007,17,2,2,1,,"[16, 1, 3, 0, 2, 3]"
GRB060923C,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060923C_230711.png,95373009,1,4,4,12,,"[2, 2, 7, 0, 1, 13]"
